country,year,PIB,population,IDH,unemployment,gdp_pc,log_gdp_pc,gdp_growth,unemployment.1,poverty
El Salvador,2022,31870120000.0,6280269.0,0.674,2.999,5074.642503370476,8.532011358743166,9.73372713831906,,
El Salvador,2023,33853940000.0,6309575.0,0.678,2.992,5365.486581901317,8.587742346553565,6.224702009280159,,
Guatemala,2001,18405220247.4412,11969368.0,0.569,2.745,1537.6935730809848,7.338038892946668,-4.581430006989207,,
Guatemala,2002,20444205991.025,12246875.0,0.575,2.747,1669.3406269783109,7.420183993298552,11.078301243731502,,
Guatemala,2003,21576351798.9145,12525788.0,0.581,2.807,1722.554445190554,7.451563610626631,5.537734301769959,,
Guatemala,2004,23577298094.6571,12807357.0,0.587,2.971,1840.9183170779968,7.518019811469828,9.273793430839715,,
Guatemala,2005,26783389293.922,13087587.0,0.593,3.059,2046.472683919656,7.623872948137369,13.59821293514305,,
Guatemala,2006,29744246827.1839,13367408.0,0.599,2.948,2225.131964789576,7.707571502859358,11.054827679832924,,
Guatemala,2007,33567850824.1039,13651990.0,0.605,2.824,2458.824744532036,7.80743876864418,12.85493634831436,,
Guatemala,2008,38503720224.3166,13935128.0,0.611,2.873,2763.069002618174,7.924097298414752,14.704156742344733,,
Guatemala,2009,37126148264.6383,14215574.0,0.617,3.208,2611.6531252722048,7.867738681145789,-3.5777632697640227,,
Guatemala,2010,40676578423.4871,14500078.0,0.623,3.497,2805.266180187934,7.939253708352219,9.56315245400907,,
Guatemala,2011,46876006272.2387,14792071.0,0.626,3.172,3168.9954890183194,8.061169936218251,15.240780048431969,,
Guatemala,2012,49593929487.1263,15089585.0,0.629,2.765,3286.6330974063435,8.097618945105522,5.798111722877786,,
Guatemala,2013,52996446180.3474,15387291.0,0.632,3.017,3444.1700088954835,8.14443822812006,6.8607523711230245,,
Guatemala,2014,57852152955.039,15681675.0,0.635,2.717,3689.156480735572,8.213153114895903,9.162325258881676,,
Guatemala,2015,62186064757.9334,15971692.0,0.638,2.506,3893.517653479256,8.267068309096722,7.4913578519067325,,
Guatemala,2016,66053403363.7384,16268708.0,0.6394,2.583,4060.150527241524,8.308975327583745,6.218979478536024,,
Guatemala,2017,71653754107.104,16567316.0,0.6408,2.462,4325.006784871129,8.37216898812108,8.47851958895436,,
Guatemala,2018,73328365862.4329,16845637.0,0.6422,2.283,4352.958921199175,8.378611104613483,2.3370886511065336,,
Guatemala,2019,77172317258.6478,17103759.0,0.6436000000000001,2.193,4512.009158843258,8.414497823061309,5.242106995028784,,
Guatemala,2020,77719464220.73,17357274.0,0.645,2.955,4477.630774321475,8.406849340503655,0.7089938225496084,,
Guatemala,2021,86455519686.8841,17598598.0,0.639,2.174,4912.636772934076,8.499566097608582,11.240498829666334,,
Guatemala,2022,95641441234.943,17847828.0,0.655,3.051,5358.715986894484,8.586479670683175,10.62502611901188,,
